graph_embeddings_factor,min_df,pca_components,topics_sizes,similarity_bibliographic_coupling,similarity_cocitation,similarity_text,max_features,text_embeddings_factor,similarity_citation,louvain_resolution,method,max_df,adjusted_mutual_info_score,n_clusters
0.0,0.0,0.0,"[20, 10]",0.0,1.0,0.0,0.0,0.0,1.0,0.8,louvain,0.0,0.36536834112220495,6.486486486486487
0.0,0.0,0.0,"[50, 10]",0.0,1.0,0.0,0.0,0.0,1.0,0.8,louvain,0.0,0.36536834112220495,6.486486486486487
0.0,0.0,0.0,"[20, 10]",0.0,10.0,0.0,0.0,0.0,10.0,0.8,louvain,0.0,0.36536834112220495,6.486486486486487
0.0,0.0,0.0,"[20, 10]",0.0,3.0,0.0,0.0,0.0,3.0,0.8,louvain,0.0,0.36536834112220495,6.486486486486487
0.0,0.0,0.0,"[50, 10]",0.0,10.0,0.0,0.0,0.0,10.0,0.8,louvain,0.0,0.36536834112220495,6.486486486486487
