graph_embeddings_factor,min_df,pca_components,topics_sizes,similarity_bibliographic_coupling,similarity_cocitation,similarity_text,max_features,text_embeddings_factor,similarity_citation,louvain_resolution,method,max_df,adjusted_mutual_info_score,n_clusters
0.0,0.001,0.0,"[50, 10]",0.0,0.0,0.0,10000.0,0.0,0.0,0.0,lda,0.8,0.17799085455361205,6.375
0.0,0.001,0.0,"[20, 10]",0.0,0.0,0.0,10000.0,0.0,0.0,0.0,lda,0.8,0.17173410305335265,6.5
0.0,0.001,0.0,"[10, 50]",0.0,0.0,0.0,10000.0,0.0,0.0,0.0,lda,0.8,0.1469032062688716,3.125
