method,adjusted_mutual_info_score,reg_v_score
embeddings,0.24229298539463628,0.2540125602009091
louvain,0.3270831626467417,0.33606577639885526
lda,0.13126483796417832,0.16115601234110574
dbscan,0.09046932043332871,0.09180727435262306
